,your_best(red)
,<Average Winning Rate>
your_base1,-0.7
your_base2,0.6
your_base3,0.7
baseline,1.0
Num_Win,3.0
Avg_Winning_Rate,0.4
,<Average Scores>
your_base1,-0.6
your_base2,0.4
your_base3,0.2
baesline,3.4
Avg_Score,0.85
